flow #174: size: 60, rem_Size: 0, arrived: 1957, src\dst:[13,26], FCT: 3501
flow #175: size: 5, rem_Size: 0, arrived: 1666, src\dst:[13,28], FCT: 3897
flow #176: size: 15, rem_Size: 0, arrived: 297, src\dst:[14,3], FCT: 5182
flow #177: size: 19, rem_Size: 0, arrived: 1844, src\dst:[14,8], FCT: 3528
flow #178: size: 31, rem_Size: 0, arrived: 103, src\dst:[14,11], FCT: 5418
flow #179: size: 35, rem_Size: 0, arrived: 2425, src\dst:[14,12], FCT: 3033
flow #180: size: 8, rem_Size: 0, arrived: 1646, src\dst:[14,19], FCT: 2707
flow #181: size: 52, rem_Size: 0, arrived: 2805, src\dst:[14,22], FCT: 1501
flow #182: size: 3, rem_Size: 0, arrived: 1940, src\dst:[14,27], FCT: 3665
flow #183: size: 90, rem_Size: 0, arrived: 98, src\dst:[14,28], FCT: 5486
flow #184: size: 9, rem_Size: 0, arrived: 2521, src\dst:[14,29], FCT: 2916
flow #185: size: 10, rem_Size: 0, arrived: 680, src\dst:[14,31], FCT: 4714
flow #186: size: 7, rem_Size: 0, arrived: 2700, src\dst:[15,2], FCT: 2926
flow #187: size: 23, rem_Size: 0, arrived: 1346, src\dst:[15,4], FCT: 4322
flow #188: size: 18, rem_Size: 0, arrived: 1241, src\dst:[15,5], FCT: 4131
flow #189: size: 3, rem_Size: 0, arrived: 1338, src\dst:[15,6], FCT: 4204
flow #190: size: 69, rem_Size: 0, arrived: 1047, src\dst:[15,8], FCT: 4558
flow #191: size: 7, rem_Size: 0, arrived: 1532, src\dst:[15,10], FCT: 4052
flow #192: size: 6, rem_Size: 0, arrived: 2016, src\dst:[15,11], FCT: 3246
flow #193: size: 6, rem_Size: 0, arrived: 175, src\dst:[15,12], FCT: 5021
flow #194: size: 13, rem_Size: 0, arrived: 2295, src\dst:[15,19], FCT: 3226
flow #195: size: 8, rem_Size: 0, arrived: 841, src\dst:[15,21], FCT: 3316
flow #196: size: 13, rem_Size: 0, arrived: 2776, src\dst:[15,23], FCT: 1725
flow #197: size: 14, rem_Size: 0, arrived: 2671, src\dst:[15,27], FCT: 2547
flow #198: size: 52, rem_Size: 0, arrived: 1217, src\dst:[15,28], FCT: 4220
flow #199: size: 69, rem_Size: 0, arrived: 1314, src\dst:[15,31], FCT: 4333
flow #200: size: 9, rem_Size: 0, arrived: 1023, src\dst:[16,0], FCT: 4540
flow #201: size: 15, rem_Size: 0, arrived: 344, src\dst:[16,1], FCT: 5093
flow #202: size: 12, rem_Size: 0, arrived: 2380, src\dst:[16,2], FCT: 3288
flow #203: size: 39, rem_Size: 0, arrived: 825, src\dst:[16,7], FCT: 4717
flow #204: size: 22, rem_Size: 0, arrived: 2085, src\dst:[16,10], FCT: 3177
flow #205: size: 94, rem_Size: 0, arrived: 731, src\dst:[16,11], FCT: 4395
flow #206: size: 3, rem_Size: 0, arrived: 440, src\dst:[16,15], FCT: 3797
flow #207: size: 5, rem_Size: 0, arrived: 2476, src\dst:[16,16], FCT: 1981
flow #208: size: 16, rem_Size: 0, arrived: 634, src\dst:[16,17], FCT: 3906
flow #209: size: 5, rem_Size: 0, arrived: 2282, src\dst:[16,20], FCT: 3218
flow #210: size: 6, rem_Size: 0, arrived: 1215, src\dst:[16,21], FCT: 4025
flow #211: size: 11, rem_Size: 0, arrived: 2762, src\dst:[16,28], FCT: 2885
flow #212: size: 5, rem_Size: 0, arrived: 2083, src\dst:[16,29], FCT: 3375
flow #213: size: 1, rem_Size: 0, arrived: 1506, src\dst:[16,30], FCT: 3973
flow #214: size: 90, rem_Size: 0, arrived: 1026, src\dst:[16,31], FCT: 4558
flow #215: size: 15, rem_Size: 0, arrived: 2658, src\dst:[17,0], FCT: 2947
flow #216: size: 38, rem_Size: 0, arrived: 1980, src\dst:[17,2], FCT: 3667
flow #217: size: 84, rem_Size: 0, arrived: 2363, src\dst:[17,3], FCT: 3095
flow #218: size: 24, rem_Size: 0, arrived: 723, src\dst:[17,8], FCT: 4065
flow #219: size: 17, rem_Size: 0, arrived: 2658, src\dst:[17,9], FCT: 2779
flow #220: size: 4, rem_Size: 0, arrived: 2754, src\dst:[17,11], FCT: 2464
flow #221: size: 11, rem_Size: 0, arrived: 525, src\dst:[17,18], FCT: 3885
flow #222: size: 6, rem_Size: 0, arrived: 234, src\dst:[17,19], FCT: 5266
flow #223: size: 3, rem_Size: 0, arrived: 2169, src\dst:[17,20], FCT: 2394
flow #224: size: 13, rem_Size: 0, arrived: 2653, src\dst:[17,22], FCT: 1705
flow #225: size: 16, rem_Size: 0, arrived: 2750, src\dst:[17,24], FCT: 1718
flow #226: size: 7, rem_Size: 0, arrived: 1296, src\dst:[17,27], FCT: 4225
flow #227: size: 61, rem_Size: 0, arrived: 2843, src\dst:[17,29], FCT: 2741
flow #228: size: 13, rem_Size: 0, arrived: 1001, src\dst:[17,31], FCT: 4667
flow #229: size: 108, rem_Size: 0, arrived: 2734, src\dst:[18,3], FCT: 2140
flow #230: size: 16, rem_Size: 0, arrived: 1667, src\dst:[18,5], FCT: 2981
flow #231: size: 3, rem_Size: 0, arrived: 601, src\dst:[18,7], FCT: 4962
flow #232: size: 15, rem_Size: 0, arrived: 496, src\dst:[18,11], FCT: 5172
flow #233: size: 3, rem_Size: 0, arrived: 2431, src\dst:[18,12], FCT: 3111
flow #234: size: 92, rem_Size: 0, arrived: 690, src\dst:[18,13], FCT: 3874
flow #235: size: 11, rem_Size: 0, arrived: 1849, src\dst:[18,14], FCT: 3609
flow #236: size: 5, rem_Size: 0, arrived: 2334, src\dst:[18,15], FCT: 3145
flow #237: size: 1, rem_Size: 0, arrived: 593, src\dst:[18,16], FCT: 4844
flow #238: size: 1, rem_Size: 0, arrived: 1651, src\dst:[18,23], FCT: 3996
flow #239: size: 15, rem_Size: 0, arrived: 685, src\dst:[18,24], FCT: 4836
flow #240: size: 91, rem_Size: 0, arrived: 1084, src\dst:[18,25], FCT: 4332
